SKC,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q6,Q9,Q13,Q13_1_TEXT,Q14,Q16,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q34,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q38,Q39,Q40,Q42,Q43,Q43_1_TEXT,Q44,Q45
0,10/22/21 12:51,10/22/21 12:56,16,172.58.44.18,100,311,1,10/22/21 13:04,R_aR2yY3W8A9ukaVi,,,,,47.60339355,-122.3414001,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,3,1,-99,-99,-99,-99,1,-99,-99,-99,1,4,4,3,2,1,32,1,2
0,11/12/21 11:55,11/12/21 12:01,16,206.183.119.29,100,316,1,11/17/21 16:36,R_eIlS5q4FuRVhWhc,,,,,47.55439758,-114.1074982,,EN,2,,1,2,1,1,1,2,2,2,1,2,2,2,2,2,,,2,,,,3,2,,,,,,,,,,,,,1,1,24,1,2
0,12/7/21 14:10,12/7/21 14:15,16,206.183.119.101,100,293,1,4/18/22 20:32,R_18zpbX4Y5OE3fp9,,,,,47.5544,-114.1075,,EN,1,4,1,2,1,2,-99,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,4,1,22,2,3
0,12/7/21 14:49,12/7/21 14:57,16,206.183.119.101,100,520,1,4/18/22 20:32,R_aMISwlbDDcavWCQ,,,,,47.5544,-114.1075,,EN,2,,1,2,1,1,1,1,1,1,2,2,2,1,2,2,,,1,1,1,2,1,1,-99,-99,-99,-99,-99,-99,1,-99,-99,2,2,2,1,1,32,4,2
0,12/7/21 14:58,12/7/21 15:03,16,206.183.119.101,100,284,1,4/18/22 20:32,R_6kG5WYCMUO6yWGd,,,,,47.5544,-114.1075,,EN,2,,1,2,1,2,-99,,,,,,,,,,,,,,,,3,1,-99,-99,-99,-99,-99,-99,-99,1,-99,3,4,3,1,1,27,1,2
0,12/17/21 12:25,12/17/21 12:28,16,172.58.45.224,100,191,1,12/21/21 15:09,R_eNLanPcmNoEzuhc,,,,,47.53640747,-122.2779999,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,2,1,-99,-99,-99,-99,1,-99,-99,-99,-99,2,2,2,4,1,54,1,2
0,12/21/21 12:30,12/21/21 12:38,16,172.58.45.224,100,454,1,12/21/21 15:09,R_nRM2UkCWIw1rf7T,,,,,47.53640747,-122.2779999,,EN,1,1,,2,1,1,1,2,1,2,2,2,1,1,2,2,,,1,2,1,1,3,1,-99,-99,-99,-99,-99,1,-99,-99,-99,4,3,3,4,1,26,6,2
1,3/10/22 17:36,3/10/22 17:43,16,172.58.45.72,100,433,1,3/16/22 10:18,R_hRjjkrmM8Zy3j9Y,,,,,47.60339355,-122.3414001,,EN,1,1,,2,1,1,2,1,1,1,2,2,2,1,2,2,,,2,,,,2,2,,,,,,,,,,,,,1,1,46,4,7
1,3/21/22 17:28,3/21/22 17:43,16,204.62.203.56,100,896,1,3/21/22 17:44,R_h2bIN0Sh2fxwy2D,,,,,47.68609619,-114.1324005,,EN,2,,1,2,1,2,-99,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,4,1,28,3,2
1,3/21/22 18:03,3/21/22 18:09,16,204.62.203.56,100,362,1,3/21/22 18:09,R_dl3OoZI0LV8M9KT,,,,,47.68609619,-114.1324005,,EN,2,,1,2,1,1,2,2,1,2,2,2,2,2,2,2,,,2,,,,2,1,-99,-99,-99,-99,-99,-99,-99,1,-99,2,2,2,4,1,20,1,2
1,4/1/22 15:27,4/1/22 15:33,16,204.62.203.56,100,348,1,4/1/22 15:37,R_nyXKdJIRmDHTE7x,,,,,47.68609619,-114.1324005,,EN,2,,1,2,1,1,2,1,1,1,2,2,2,2,1,2,,,2,,,,3,2,,,,,,,,,,,,,3,1,31,1,2
1,5/6/22 13:08,5/6/22 13:13,16,204.62.203.56,100,279,1,5/6/22 13:15,R_alBl4N4Fp0eJzPp,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,1,2,1,2,2,2,2,2,2,2,,,2,,,,4,2,,,,,,,,,,,,,5,1,20,6,3
1,5/9/22 10:05,5/9/22 10:13,16,204.62.203.56,100,484,1,5/9/22 10:22,R_3rUk4NfW5RIsQVp,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,3,1,1,1,2,2,2,2,2,2,,,2,,,,3,1,-99,-99,-99,-99,-99,-99,-99,1,-99,3,3,2,3,1,25,3,4
1,5/9/22 10:13,5/9/22 10:19,16,204.62.203.56,100,372,1,5/9/22 10:22,R_5Md3MzuhlpOmjrx,,,,,47.6861,-114.1324,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,4,1,28,1,2
1,5/19/22 19:05,5/19/22 19:17,16,204.62.203.56,100,678,1,5/19/22 19:17,R_oHAtmYjJsKJCfLS,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,1,1,2,2,2,2,2,2,2,2,,,2,,,,2,2,,,,,,,,,,,,,1,1,28,3,2
1,5/19/22 19:17,5/19/22 19:26,16,204.62.203.56,100,560,1,5/19/22 19:26,R_97DITvz2GFWzCCo,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,1,2,2,1,2,2,2,2,2,2,,,2,,,,3,2,,,,,,,,,,,,,4,1,21,1,3
1,5/23/22 13:20,5/23/22 13:26,16,204.62.203.56,100,362,1,5/23/22 13:26,R_oove0VdG7HYBs0j,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,7,2,1,2,2,2,1,2,2,2,,,2,,,,4,2,,,,,,,,,,,,,1,1,20,3,2
1,6/1/22 17:31,6/1/22 17:42,16,204.62.203.56,100,689,1,6/1/22 17:43,R_kt7Y8RWRI2VyCBi,,,,,47.6861,-114.1324,,EN,2,,1,2,1,1,2,1,1,2,2,2,2,1,1,2,,,2,,,,2,1,-99,-99,1,-99,-99,-99,-99,-99,-99,2,2,2,4,1,31,6,2
